Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 18:41,6/2/14 18:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 19:11,6/2/14 19:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 19:41,6/2/14 19:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 20:11,6/2/14 20:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 20:41,6/2/14 20:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 21:11,6/2/14 21:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 21:41,6/2/14 21:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 22:11,6/2/14 22:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 22:41,6/2/14 22:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 23:11,6/2/14 23:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/2/14 23:41,6/2/14 23:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 0:11,6/3/14 0:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 0:41,6/3/14 0:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 1:11,6/3/14 1:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 1:41,6/3/14 1:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 2:11,6/3/14 2:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 2:41,6/3/14 2:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 3:11,6/3/14 3:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 3:41,6/3/14 3:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 4:11,6/3/14 4:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 4:41,6/3/14 4:41,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 5:11,6/3/14 5:11,"0 d, 0 h, 0 m, 0 s",0,406,
VAV-1-10-1-2,0,No Communication,9,1,6/3/14 5:41,6/3/14 5:41,"0 d, 0 h, 0 m, 0 s",0,406,
