Machine,Circuit,Diagnosis,Rank,Qty,Time - First,Time - Last,Time - Duration,Impact,FDD Analysis Type Id,Notes
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 16:07,6/5/14 16:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 16:38,6/5/14 16:38,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 17:08,6/5/14 17:08,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 17:38,6/5/14 17:38,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 18:09,6/5/14 18:09,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 18:39,6/5/14 18:39,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/5/14 19:09,6/5/14 19:09,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 8:35,6/6/14 8:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 9:05,6/6/14 9:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 9:35,6/6/14 9:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 10:05,6/6/14 10:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 10:35,6/6/14 10:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 11:05,6/6/14 11:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 11:35,6/6/14 11:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 12:05,6/6/14 12:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 12:35,6/6/14 12:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 13:05,6/6/14 13:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 13:35,6/6/14 13:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 14:05,6/6/14 14:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 14:35,6/6/14 14:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 15:05,6/6/14 15:05,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 15:36,6/6/14 15:36,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 16:06,6/6/14 16:06,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 16:37,6/6/14 16:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 17:07,6/6/14 17:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 17:37,6/6/14 17:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 18:07,6/6/14 18:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 18:37,6/6/14 18:37,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/6/14 19:07,6/6/14 19:07,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 8:34,6/7/14 8:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 9:04,6/7/14 9:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 9:34,6/7/14 9:34,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 10:04,6/7/14 10:04,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 10:35,6/7/14 10:35,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 11:59,6/7/14 11:59,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 12:29,6/7/14 12:29,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Setpoint Not Met - ZAT - Over Cooling,9,1,6/7/14 12:59,6/7/14 12:59,"0 d, 0 h, 0 m, 0 s",72,391,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 8:34,6/9/14 8:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 9:04,6/9/14 9:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 9:34,6/9/14 9:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 10:04,6/9/14 10:04,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 10:34,6/9/14 10:34,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 11:05,6/9/14 11:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 11:35,6/9/14 11:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 12:05,6/9/14 12:05,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 12:35,6/9/14 12:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 12:54,6/9/14 12:54,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 13:24,6/9/14 13:24,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 13:54,6/9/14 13:54,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 14:24,6/9/14 14:24,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 14:55,6/9/14 14:55,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 15:25,6/9/14 15:25,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 15:55,6/9/14 15:55,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 16:25,6/9/14 16:25,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 16:55,6/9/14 16:55,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 17:25,6/9/14 17:25,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 17:55,6/9/14 17:55,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 18:25,6/9/14 18:25,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 18:55,6/9/14 18:55,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/9/14 19:25,6/9/14 19:25,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 8:35,6/10/14 8:35,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 9:07,6/10/14 9:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 9:37,6/10/14 9:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 10:07,6/10/14 10:07,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 10:37,6/10/14 10:37,"0 d, 0 h, 0 m, 0 s",0,414,
VAV-1-10-1-12,0,Zone Air Temperature Sensor Failure: Value Too High,9,1,6/10/14 11:07,6/10/14 11:07,"0 d, 0 h, 0 m, 0 s",0,414,
